XValues,Field1,Field2
1,1000,1000
2,1005,1003
3,1002,1003
4,1003,1006
5,1011,1000
6,1011,1002
7,1008,1004
8,1006,1002
9,1006,997
10,1013,997
11,1021,1001
12,1022,1001
13,1023,1006
14,1020,1001
15,1021,1000
16,1027,997
